障礙類別,學前-幼幼班(人數),學前-小班(人數),學前-中班(人數),學前-大班(人數),國小-一年級(人數),國小-二年級(人數),國小-三年級(人數),國小-四年級(人數),國小-五年級(人數),國小-六年級(人數),國中-一年級(人數),國中-二年級(人數),國中-三年級(人數),高中-一年級(人數),高中-二年級(人數),高中-三年級(人數)
智能障礙,8,12,52,160,1023,1318,1365,1501,1556,1499,1533,1659,1558,1433,1519,1661
視覺障礙,2,6,10,23,22,38,51,41,48,43,47,73,56,57,59,61
聽覺障礙,93,188,222,230,268,259,250,267,272,249,227,235,206,185,190,193
語言障礙,1,4,8,24,457,472,279,160,138,89,26,20,22,17,1,12
肢體障礙,5,13,23,39,36,66,73,59,68,69,95,95,81,67,89,92
腦性麻痺,22,72,82,127,183,204,215,220,201,233,226,255,232,207,215,210
身體病弱,8,11,17,42,47,69,98,86,95,93,76,116,113,108,85,84
情緒行為障礙,0,1,5,13,626,809,926,1114,1133,1077,854,877,938,886,689,697
學習障礙,0,0,0,0,1,1082,3807,4842,5341,5457,4672,5103,4646,3820,3166,2885
多重障礙,10,16,38,75,150,142,171,185,182,211,180,179,141,140,147,124
自閉症,10,102,309,666,1954,2224,2428,2405,2448,2217,2033,2152,1933,1775,1704,1546
發展遲緩,1107,5071,8858,10377,0,0,0,0,0,0,0,0,0,0,0,0
其他障礙,3,7,17,47,207,207,78,87,79,74,68,54,68,55,48,44
