entity_key,name,cat,county,district,address,tel,sources
x:宜蘭縣:宜蘭縣兒童綜合服務中心個案管理中心,宜蘭縣兒童綜合服務中心-個案管理中心,個案管理中心,宜蘭縣,宜蘭市,宜蘭縣宜蘭市舊城西路12號1樓,03-9333676分機103-105,sfaa
x:彰化縣:二林北斗區兒童發展社區資源服務中心,二林北斗區兒童發展社區資源服務中心,個案管理中心,彰化縣,二林鎮,彰化縣二林鎮中西里二城路7號,04-8960271分機249、142、182,sfaa
x:彰化縣:和美鹿港區兒童發展社區資源服務中心,和美鹿港區兒童發展社區資源服務中心,個案管理中心,彰化縣,和美鎮,彰化縣和美鎮彰美路5段160號,04-7569336,sfaa
x:彰化縣:員林田中區兒童發展社區資源服務中心,員林田中區兒童發展社區資源服務中心,個案管理中心,彰化縣,員林市,彰化縣員林市光明里民生路50號,04-8374936、04-8338156,sfaa
x:彰化縣:彰化區兒童發展社區資源服務中心,彰化區兒童發展社區資源服務中心,個案管理中心,彰化縣,彰化市,彰化縣彰化市大埔路676號,04-7124891分機888,sfaa
x:新北市:第1區早期療育社區資源中心淡水區三芝區石門區金山區萬里區,第1區早期療育社區資源中心(淡水區、三芝區、石門區、金山區、萬里區),個案管理中心,新北市,淡水區,新北市淡水區沙崙路300號,2792-2705＃9400,sfaa
x:新北市:第2區早期療育社區資源中心三重區蘆洲區林口區八里區,第2區早期療育社區資源中心(三重區、蘆洲區、林口區、八里區),個案管理中心,新北市,三重區,新北市三重區重新路5段609巷20號3樓之1,02-22789866分機11、12、13,sfaa
x:新北市:第3區早期療育社區資源中心板橋區新莊區泰山區五股區,第3區早期療育社區資源中心(板橋區、新莊區、泰山區、五股區),個案管理中心,新北市,板橋區,新北市板橋區中正路10號5樓,02-2960-1072,sfaa
x:新北市:第4區早期療育社區資源中心三峽區鶯歌區樹林區坪林區烏來區瑞芳區,第4區早期療育社區資源中心(三峽區、鶯歌區、樹林區、坪林區、烏來區、瑞芳區),個案管理中心,新北市,三峽區,新北市三峽區國光街12巷10號1樓,02-35012063分機34、36、39,sfaa
x:新北市:第5區早期療育社區資源中心中和區永和區土城區汐止區,第5區早期療育社區資源中心(中和區、永和區、土城區、汐止區),個案管理中心,新北市,中和區,新北市中和區圓通路296巷31弄1號,02-82457309,sfaa
x:新北市:第6區早期療育社區資源中心新店區深坑區石碇區平溪區雙溪區貢寮區,第6區早期療育社區資源中心(新店區、深坑區 石碇區、平溪區 雙溪區、貢寮區),個案管理中心,新北市,新店區,新北市新店區中正路284巷9號,02-2913-4433,sfaa
x:桃園市:第一區早期療育發展中心,第一區早期療育發展中心,個案管理中心,桃園市,大園區,桃園市大園區中華路2號4樓,03-3863316#21-25,sfaa
x:桃園市:第三區早期療育發展中心,第三區早期療育發展中心,個案管理中心,桃園市,中壢區,桃園市中壢區中山東路四段46號2樓(中壢一號社會住宅),03-456-6776,sfaa
x:桃園市:第二區早期療育發展中心,第二區早期療育發展中心,個案管理中心,桃園市,桃園區,桃園市桃園區國際路二段598號3樓,03-3010554,sfaa
x:桃園市:第五區早期療育發展中心兒童發展服務中心,第五區早期療育發展中心(兒童發展服務中心),個案管理中心,桃園市,八德區,桃園市八德區福興里建德路360號三樓,03-3653266,sfaa
x:桃園市:第四區早期療育服務中心,第四區早期療育服務中心,個案管理中心,桃園市,平鎮,桃園市平鎮區環南路二段192巷1號,03-4936040,sfaa
x:臺北市:中正萬華區早期療育社區資源中心,中正萬華區早期療育社區資源中心,個案管理中心,臺北市,萬華區,臺北市萬華區西園路一段150號3樓,02-23022655,sfaa
x:臺北市:南港信義區早期療育社區資源中心,南港信義區早期療育社區資源中心,個案管理中心,臺北市,信義區,臺北市信義區信義路5段150巷342弄17-7號,02-27207165,sfaa
x:臺北市:士林北投區早期療育社區資源中心,士林北投區早期療育社區資源中心,個案管理中心,臺北市,北投區,臺北市北投區中央北路一段6號4樓之2,02-28965676,sfaa
x:臺北市:大同中山區早期療育社區資源中心,大同中山區早期療育社區資源中心,個案管理中心,臺北市,大同區,臺北市大同區重慶北路3段88號3樓之4,02-25635591,sfaa
x:臺北市:大安文山區早期療育社區資源中心,大安文山區早期療育社區資源中心,個案管理中心,臺北市,文山區,臺北市文山區興隆路2段88號5樓之2,02-23653654,sfaa
x:臺北市:松山內湖區早期療育社區資源中心,松山內湖區早期療育社區資源中心,個案管理中心,臺北市,內湖區,臺北市內湖區民權東路6段123巷24號2樓,02-27911806,sfaa
x:苗栗縣:苗栗縣中港溪地區兒童早期療育個案管理中心,苗栗縣中港溪地區兒童早期療育個案管理中心,個案管理中心,苗栗縣,竹南鎮,苗栗縣竹南鎮自由街97號,037-690311,sfaa
